Date,Open,High,Low,Close,Volume,Daily_Returns,50_MA,200_MA,Volatility
2023-01-03,123.76844787597656,129.53777173642334,122.87781229417564,128.9242286522927,112117500,,,,
2023-01-04,125.04503631591795,127.32110440506466,123.77835783326216,125.5695196673302,89113600,-0.026020779957583562,,,
2023-01-05,123.71897888183594,126.44036106917036,123.46169000194207,125.8070218186634,80962700,0.0018913996960601143,,,
2023-01-06,128.27110290527344,128.93412872931725,123.59032994150238,124.6986773645302,87754700,-0.00880987752599971,,,
2023-01-09,128.7955780029297,132.02166222689684,128.53828914886986,129.11225514638548,70790800,0.03539394222244341,,,
2023-01-10,129.36953735351562,129.89402063291897,126.7866980473988,128.90442726046035,63896200,-0.0016096681580651806,,,
2023-01-11,132.10084533691406,132.12062633545213,129.1023781585197,129.8841504007418,69458900,0.007600383951916756,,,
2023-01-12,132.0216827392578,132.862828219757,130.0721821844543,132.48679292847487,71379600,0.02003818417953962,,,
2023-01-13,133.3576202392578,133.51595882992456,130.28988932008468,130.65603409850235,57809700,-0.013818425138880763,,,
2023-01-17,134.52536010742188,135.86130244423947,132.73419805805875,133.4269105771494,63646600,0.021207413019731503,,,
2023-01-18,133.8029327392578,137.16754432165283,133.62479807195606,135.39617874680306,69672800,0.014759152866055336,,,
2023-01-19,133.8623046875,134.8321020004952,132.37791457373308,132.6846861145787,58280400,-0.020026360103522323,,,
2023-01-20,136.43524169921875,136.583689774084,132.8232317107928,133.8721983331851,80223600,0.008949881507658963,,,
2023-01-23,139.64154052734375,141.82854882417135,136.4649387224491,136.68265050222374,81760300,0.020993546113614148,,,
2023-01-24,141.0467529296875,141.67020163390134,138.83996376873685,138.8498542672173,66435100,0.015855734118634945,,,
2023-01-25,140.3837432861328,140.94780376437996,137.36547990253146,139.42383632315142,65799300,0.004133832613388844,,,
2023-01-26,142.4619140625,142.7488895882088,140.42333837987348,141.6801265924633,54105100,0.016182959304622324,,,
2023-01-27,144.411376953125,145.69785156540507,141.59104444543297,141.6702137400347,70555800,-6.996642836931688e-05,,,
2023-01-30,141.51187133789062,144.03533779783174,141.36343835201114,143.45148125337437,64015300,0.012573338222022334,,,
2023-01-31,142.7884521484375,142.8379348478305,140.7993744728372,141.21500196773877,65874500,-0.015590492800038547,,,
2023-02-01,143.91659545898438,145.08432380327815,139.84938010470844,142.4717972041809,77663600,0.008899870544414545,,,
2023-02-02,149.25050354003906,149.60674271507267,146.62807162382762,147.35047067319957,118339000,0.034243082243336165,,,
2023-02-03,152.89219665527344,155.74223078414798,146.29160978319123,146.4895254643634,154357300,-0.005842839896627261,,,
2023-02-06,150.1510009765625,151.50675419012316,149.2108902751862,150.98227090093437,69858300,0.03066939716221495,,,
2023-02-07,153.04061889648438,153.61458490158566,149.07235465259149,149.07235465259149,83322600,-0.012649937220748586,,,
2023-02-08,150.33905029296875,152.97137275977542,149.5968551305232,152.2786602948261,64120100,0.02150838530528887,,,
2023-02-09,149.2999725341797,152.7239728262669,148.8546584612201,152.17969335931676,56007100,-0.0006499067913897649,,,
2023-02-10,149.66668701171875,149.99375331566142,147.89261658821053,148.1304871155474,57450700,-0.026608058896587683,,,
2023-02-13,152.48143005371094,152.88777139634084,149.5774860679603,149.6072179924685,62199000,0.009969121857873686,,,
2023-02-14,151.8372039794922,152.402140794644,149.5180231156205,150.7668093216158,61707600,0.007750904967738226,,,
2023-02-15,153.9482421875,154.1167281140803,151.52003952799797,151.74798929654162,65573800,0.006507930885721436,,,0.016619265700234354
